기간	자치구	동	합계	합계	20대 이하(29세 이하)	20대 이하(29세 이하)	30대(30~39세)	30대(30~39세)	40대(40~49세)	40대(40~49세)	50대(50~59세)	50대(50~59세)	60대 이상(60세 이상)	60대 이상(60세 이상)
기간	자치구	동	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2019	양천구	신월2동	1,175	3,943	14	23	141	356	210	618	468	1,888	342	1,058
2019	양천구	신월3동	958	4,019	19	30	128	380	184	917	378	1,567	249	1,125
2019	양천구	신월4동	1,166	4,255	22	56	150	289	256	1,116	421	1,598	317	1,196
2019	양천구	신월5동	994	4,849	32	89	114	243	224	1,095	386	1,910	238	1,512
2019	양천구	신월6동	1,336	3,129	8	14	89	147	138	403	657	1,593	444	972
2019	양천구	신월7동	1,324	5,406	23	65	152	246	283	982	483	2,203	383	1,910
2019	양천구	신정1동	1,175	5,322	26	55	123	296	335	1,250	432	2,798	259	923
2019	양천구	신정2동	1,091	3,806	31	80	136	334	285	1,048	384	1,433	255	911
2019	양천구	신정3동	1,814	9,284	34	68	219	701	354	1,366	697	4,527	510	2,622
2019	양천구	신정6동	714	6,916	12	26	82	273	215	1,120	268	4,788	137	709
2019	양천구	신정7동	1,030	4,457	20	49	147	393	243	1,045	417	2,262	203	708
2019	양천구	목5동	1,565	10,700	29	61	177	522	493	1,815	556	6,556	310	1,746
2019	양천구	신정4동	3,090	15,439	85	257	435	1,309	767	3,385	1,044	5,883	759	4,605
2019	강서구	소계	39,458	257,494	1,037	3,134	6,490	21,061	10,597	68,725	12,823	99,300	8,511	65,274
2019	강서구	염창동	2,170	17,152	42	137	283	1,071	536	3,787	777	7,806	532	4,351
2019	강서구	등촌1동	1,812	15,763	58	173	277	1,002	468	2,757	618	8,208	391	3,623
2019	강서구	등촌2동	737	3,541	18	40	83	171	198	885	242	1,385	196	1,060
2019	강서구	등촌3동	2,533	19,252	75	235	361	1,465	669	3,887	901	7,982	527	5,683
2019	강서구	화곡본동	1,389	4,179	28	46	204	564	350	1,043	434	1,296	373	1,230
2019	강서구	화곡2동	855	2,732	13	35	126	258	218	562	272	747	226	1,130
2019	강서구	화곡3동	1,222	4,170	36	126	201	743	310	1,044	416	1,566	259	691
2019	강서구	화곡4동	1,469	3,988	36	82	204	486	336	992	496	1,554	397	874
2019	강서구	화곡6동	1,749	10,847	52	126	257	934	471	2,765	543	2,919	426	4,103
2019	강서구	화곡8동	1,275	4,167	31	74	182	454	327	1,562	401	1,371	334	706
2019	강서구	가양1동	5,790	56,353	214	671	1,288	4,976	2,039	14,226	1,563	23,594	686	12,886
2019	강서구	가양2동	633	3,383	19	38	95	252	171	994	183	1,549	165	550
2019	강서구	가양3동	904	7,374	15	39	99	467	225	2,211	334	2,776	231	1,881
2019	강서구	발산1동	3,375	19,865	92	311	527	1,911	1,044	6,193	1,121	7,324	591	4,126
2019	강서구	공항동	2,040	36,149	41	145	304	1,086	538	14,507	698	9,299	459	11,112
2019	강서구	방화1동	2,621	11,003	58	210	409	1,074	685	2,707	920	5,051	549	1,961
2019	강서구	방화2동	3,279	14,018	56	252	681	1,683	616	2,629	1,138	6,028	788	3,426
2019	강서구	방화3동	893	4,698	18	63	99	255	169	563	329	2,185	278	1,632
2019	강서구	화곡1동	3,048	10,879	90	218	485	1,349	718	3,179	947	3,513	808	2,620
2019	강서구	우장산동	1,664	7,981	45	113	325	860	509	2,232	490	3,147	295	1,629
2019	구로구	소계	38,756	225,668	740	2,134	4,662	15,447	10,806	59,692	13,539	96,304	9,009	52,091
2019	구로구	신도림동	2,784	15,121	48	276	381	1,223	770	3,959	906	5,946	679	3,717
2019	구로구	구로1동	728	3,603	19	41	95	206	206	1,279	244	1,454	164	623
2019	구로구	구로3동	7,883	92,379	189	686	1,167	6,141	2,652	25,487	2,599	42,415	1,276	17,650
2019	구로구	구로4동	2,133	6,044	50	132	275	555	566	1,863	719	2,161	523	1,333
2019	구로구	구로5동	4,477	26,529	96	241	541	1,810	1,327	7,142	1,671	9,193	842	8,143
2019	구로구	고척1동	2,541	10,116	41	109	226	680	569	2,839	940	4,134	765	2,354
