기간	자치구	동	합계	합계	합계	대형마트	대형마트	대형마트	백화점	백화점	백화점	전문점	전문점	전문점	쇼핑센터	쇼핑센터	쇼핑센터	복합쇼핑몰	복합쇼핑몰	복합쇼핑몰	그밖의 대규모점포	그밖의 대규모점포	그밖의 대규모점포
기간	자치구	동	합계	합계	합계	대형마트	대형마트	대형마트	백화점	백화점	백화점	전문점	전문점	전문점	쇼핑센터	쇼핑센터	쇼핑센터	복합쇼핑몰	복합쇼핑몰	복합쇼핑몰	그밖의 대규모점포	그밖의 대규모점포	그밖의 대규모점포
기간	자치구	동	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적
기간	자치구	동	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적
2019	강북구	삼양동	2	11,040	26,787	1	8,319	19,709	-	-	-	-	-	-	-	-	-	-	-	-	1	2,721	7,078
2019	강북구	송중동	3	53,576	111,073	-	-	-	1	45,651	73,173	-	-	-	2	7,925	37,900	-	-	-	-	-	-
2019	강북구	송천동	1	2,747	11,204	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,747	11,204
2019	강북구	인수동	1	858	2,769	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	858	2,769
2019	도봉구	소계	9	36,524	159,964	3	25,832	91,064	-	-	-	-	-	-	-	-	-	-	-	-	6	10,693	68,900
2019	도봉구	쌍문2동	1	3,339	19,989	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,339	19,989
2019	도봉구	방학1동	2	21,563	78,310	2	21,563	78,310	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2019	도봉구	방학3동	1	1,649	4,667	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,649	4,667
2019	도봉구	창2동	2	3,317	14,343	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	3,317	14,343
2019	도봉구	창5동	1	4,268	12,754	1	4,268	12,754	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2019	도봉구	도봉2동	2	2,388	29,902	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2,388	29,902
2019	노원구	소계	14	164,758	506,793	2	14,655	94,373	2	50,179	132,704	-	-	-	1	35,563	99,968	-	-	-	9	64,361	179,748
2019	노원구	월계3동	1	35,563	99,968	-	-	-	-	-	-	-	-	-	1	35,563	99,968	-	-	-	-	-	-
2019	노원구	하계1동	1	10,209	21,109	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	10,209	21,109
2019	노원구	중계본동	1	10,150	20,657	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	10,150	20,657
2019	노원구	중계1동	1	8,311	38,456	1	8,311	38,456	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2019	노원구	상계1동	1	3,263	24,995	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,263	24,995
2019	노원구	상계2동	3	51,576	133,771	-	-	-	1	39,887	72,915	-	-	-	-	-	-	-	-	-	2	11,689	60,856
2019	노원구	상계5동	1	7,863	14,890	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	7,863	14,890
2019	노원구	중계2.3동	4	31,954	144,101	1	6,344	55,917	1	10,292	59,789	-	-	-	-	-	-	-	-	-	2	15,318	28,395
2019	노원구	공릉1동	1	5,869	8,846	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	5,869	8,846
2019	은평구	소계	18	145,099	500,675	2	22,986	139,162	-	-	-	-	-	-	4	37,538	145,047	1	57,505	160,220	11	27,070	56,246
2019	은평구	불광1동	3	15,623	25,873	-	-	-	-	-	-	-	-	-	1	6,172	8,687	-	-	-	2	9,451	17,186
2019	은평구	갈현2동	1	3,223	4,912	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,223	4,912
2019	은평구	대조동	3	28,617	101,803	-	-	-	-	-	-	-	-	-	2	26,324	97,074	-	-	-	1	2,293	4,729
2019	은평구	응암1동	1	16,105	58,384	1	16,105	58,384	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2019	은평구	응암2동	1	649	1,688	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	649	1,688
2019	은평구	증산동	1	2,130	2,171	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,130	2,171
2019	은평구	수색동	2	7,856	81,852	1	6,881	80,778	-	-	-	-	-	-	-	-	-	-	-	-	1	975	1,074
2019	은평구	진관동	1	57,505	160,220	-	-	-	-	-	-	-	-	-	-	-	-	1	57,505	160,220	-	-	-
2019	은평구	불광2동	2	5,920	40,781	-	-	-	-	-	-	-	-	-	1	5,042	39,286	-	-	-	1	878	1,495
2019	은평구	응암3동	2	4,467	4,564	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	4,467	4,564
2019	은평구	역촌동	1	3,004	18,427	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,004	18,427
2019	서대문구	소계	9	80,282	199,525	-	-	-	1	35,472	84,575	-	-	-	-	-	-	-	-	-	8	44,810	114,950
2019	서대문구	홍제3동	1	2,982	4,321	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,982	4,321
2019	서대문구	홍은1동	1	6,606	35,627	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	6,606	35,627
2019	서대문구	남가좌1동	2	2,950	3,617	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2,950	3,617
2019	서대문구	남가좌2동	1	1,397	6,865	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,397	6,865
2019	서대문구	신촌동	3	63,042	145,376	-	-	-	1	35,472	84,575	-	-	-	-	-	-	-	-	-	2	27,570	60,801
2019	서대문구	연희동	1	3,305	3,719	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,305	3,719
2019	마포구	소계	16	77,840	657,614	3	30,122	446,005	-	-	-	1	6,726	29,002	1	9,445	54,235	-	-	-	11	31,547	128,372
2019	마포구	신수동	1	907	1,092	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	907	1,092
2019	마포구	서교동	6	36,227	332,992	1	8,699	219,613	-	-	-	1	6,726	29,002	1	9,445	54,235	-	-	-	3	11,357	30,142
2019	마포구	합정동	1	1,109	5,433	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,109	5,433
2019	마포구	망원2동	1	1,406	31,841	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,406	31,841
2019	마포구	연남동	1	438	492	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	438	492
2019	마포구	성산2동	2	29,016	181,735	1	16,679	164,416	-	-	-	-	-	-	-	-	-	-	-	-	1	12,337	17,319
2019	마포구	서강동	1	2,493	38,658	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,493	38,658
2019	마포구	공덕동	3	6,244	65,371	1	4,744	61,976	-	-	-	-	-	-	-	-	-	-	-	-	2	1,500	3,395
2019	양천구	소계	20	149,357	453,681	1	14,074	59,518	1	62,577	239,441	-	-	-	1	19,765	47,172	-	-	-	17	52,941	107,550
2019	양천구	목1동	3	96,416	346,131	1	14,074	59,518	1	62,577	239,441	-	-	-	1	19,765	47,172	-	-	-	-	-	-
2019	양천구	목2동	1	1,350	3,020	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,350	3,020
2019	양천구	목3동	2	8,742	38,910	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	8,742	38,910
2019	양천구	목4동	2	8,112	14,975	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	8,112	14,975
2019	양천구	신월1동	2	6,171	7,110	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	6,171	7,110
2019	양천구	신월2동	1	1,906	2,320	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,906	2,320
2019	양천구	신월3동	1	2,059	834	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,059	834
2019	양천구	신월6동	1	2,385	2,718	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,385	2,718
2019	양천구	신월7동	2	3,399	5,081	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	3,399	5,081
2019	양천구	신정1동	2	6,779	3,463	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	6,779	3,463
2019	양천구	신정2동	1	5,439	1,240	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	5,439	1,240
2019	양천구	신정7동	1	3,143	14,142	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,143	14,142
2019	양천구	신정4동	1	3,456	13,737	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,456	13,737
2019	강서구	소계	15	170,405	695,800	3	47,408	167,576	1	34,259	110,026	-	-	-	1	67,679	315,098	-	-	-	10	21,059	103,100
2019	강서구	염창동	1	2,652	21,851	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,652	21,851
