기간	자치구	동	합계	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 취득한 자	외국인주민 자녀(출생)
기간	자치구	동	합계	소계	외국인근로자	결혼이민자	유학생	외국국적동포	기타외국인	한국국적을 취득한 자	외국인주민 자녀(출생)
2019	서대문구	홍제3동	296	215	30	40	21	43	81	31	50
2019	서대문구	홍제2동	232	160	11	32	14	30	73	34	38
2019	서대문구	홍은1동	449	352	14	58	69	48	163	45	52
2019	서대문구	홍은2동	1,271	1,076	59	86	302	66	563	90	105
2019	서대문구	남가좌1동	419	317	9	59	***	40	206	41	61
2019	서대문구	남가좌2동	1,550	1,389	45	72	696	48	528	69	92
2019	서대문구	북가좌1동	328	213	15	48	7	40	103	41	74
2019	서대문구	북가좌2동	763	499	57	95	59	74	214	120	144
2019	서대문구	충현동	698	609	84	62	92	107	264	38	51
2019	서대문구	북아현동	578	482	70	58	46	97	211	55	41
2019	서대문구	신촌동	6,518	6,434	264	57	3,873	228	2,012	50	34
2019	서대문구	연희동	4,112	3,820	344	146	812	303	2,215	154	138
2019	마포구	계	16,416	14,307	1,538	1,159	3,537	1,790	6,283	891	1,218
2019	마포구	용강동	695	580	97	76	30	85	292	33	82
2019	마포구	대흥동	2,604	2,502	194	47	1,313	172	776	57	45
2019	마포구	염리동	835	793	87	37	205	74	390	20	22
2019	마포구	신수동	791	707	98	60	194	81	274	31	53
2019	마포구	서교동	2,325	2,205	194	83	737	153	1,038	57	63
2019	마포구	합정동	698	598	89	71	84	96	258	46	54
2019	마포구	망원1동	679	492	85	76	24	96	211	83	104
2019	마포구	망원2동	464	318	69	52	10	69	118	71	75
2019	마포구	연남동	1,289	1,170	119	66	183	91	711	65	54
2019	마포구	성산1동	624	507	74	62	33	80	258	57	60
2019	마포구	성산2동	623	453	37	88	69	93	166	76	94
2019	마포구	상암동	949	746	90	88	19	84	465	57	146
2019	마포구	도화동	491	426	67	61	24	105	169	27	38
2019	마포구	서강동	1,267	1,168	74	56	533	110	395	42	57
2019	마포구	공덕동	1,351	1,085	131	136	55	282	481	107	159
2019	마포구	아현동	731	557	33	100	24	119	281	62	112
2019	양천구	계	9,138	6,221	1,044	1,141	97	1,648	2,291	1,470	1,447
2019	양천구	목1동	425	319	23	52	12	53	179	28	78
