기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	특례수급자	특례수급자	시설수급자	시설수급자
기간	자치구	동	가구	시설	인원	가구	인원	가구	인원	가구	인원	시설	인원
2019	양천구	소계	9,506	24	13,811	8,249	11,342	1,104	1,973	153	193	24	303
2019	양천구	목1동	174	-	246	165	234	9	12	-	-	-	-
2019	양천구	목2동	467	-	670	407	557	53	103	7	10	-	-
2019	양천구	목3동	561	-	808	504	702	52	96	5	10	-	-
2019	양천구	목4동	495	-	734	439	632	50	96	6	6	-	-
2019	양천구	신월1동	1,133	-	1,594	990	1,351	127	222	16	21	-	-
2019	양천구	신월2동	462	-	651	418	575	37	68	7	8	-	-
2019	양천구	신월3동	887	-	1,236	765	1,052	108	166	14	18	-	-
2019	양천구	신월4동	232	-	329	200	272	27	52	5	5	-	-
2019	양천구	신월5동	400	-	593	337	479	57	107	6	7	-	-
2019	양천구	신월6동	92	-	142	84	126	6	11	2	5	-	-
2019	양천구	신월7동	632	-	919	564	794	59	115	9	10	-	-
2019	양천구	신정1동	171	-	252	144	213	25	37	2	2	-	-
2019	양천구	신정2동	434	-	565	385	488	43	71	6	6	-	-
2019	양천구	신정3동	1,132	-	1,769	938	1,412	175	330	19	27	-	-
2019	양천구	신정6동	30	-	40	30	40	-	-	-	-	-	-
2019	양천구	신정7동	1,171	-	1,559	978	1,250	151	260	42	49	-	-
2019	양천구	목5동	31	-	47	29	43	2	4	-	-	-	-
2019	양천구	신정4동	991	-	1,343	861	1,111	123	223	7	9	-	-
2019	양천구	기타	11	24	314	11	11	-	-	-	-	24	303
2019	강서구	소계	17,095	33	24,152	14,539	19,192	1,689	3,319	867	1,210	33	431
2019	강서구	염창동	123	-	166	104	136	10	19	9	11	-	-
2019	강서구	등촌1동	143	-	204	119	169	12	19	12	16	-	-
2019	강서구	등촌2동	222	-	356	178	252	32	86	12	18	-	-
2019	강서구	등촌3동	3,789	-	5,268	3,164	4,150	398	793	227	325	-	-
2019	강서구	화곡본동	869	-	1,279	744	1,080	89	156	36	43	-	-
2019	강서구	화곡2동	495	-	767	427	653	55	96	13	18	-	-
2019	강서구	화곡3동	379	-	537	311	418	53	99	15	20	-	-
2019	강서구	화곡4동	546	-	764	437	575	73	135	36	54	-	-
2019	강서구	화곡6동	513	-	694	422	542	60	111	31	41	-	-
2019	강서구	화곡8동	502	-	742	427	595	52	119	23	28	-	-
2019	강서구	가양1동	148	-	224	133	189	12	31	3	4	-	-
2019	강서구	가양2동	2,200	-	2,883	1,936	2,371	172	384	92	128	-	-
2019	강서구	가양3동	1,528	-	2,097	1,333	1,743	119	249	76	105	-	-
2019	강서구	발산1동	627	-	1,073	503	820	76	168	48	85	-	-
2019	강서구	공항동	584	-	791	496	648	48	96	40	47	-	-
2019	강서구	방화1동	579	-	808	501	677	51	92	27	39	-	-
2019	강서구	방화2동	1,015	-	1,314	897	1,122	77	135	41	57	-	-
2019	강서구	방화3동	1,421	-	1,880	1,225	1,551	142	257	54	72	-	-
2019	강서구	화곡1동	1,089	-	1,445	904	1,150	131	221	54	74	-	-
2019	강서구	우장산동	307	-	413	264	336	26	53	17	24	-	-
2019	강서구	기타	16	33	447	14	15	1	-	1	1	33	431
2019	구로구	소계	7,188	23	10,334	5,958	7,746	751	1,476	479	654	23	458
2019	구로구	신도림동	110	-	146	86	99	14	30	10	17	-	-
2019	구로구	구로1동	52	-	68	47	57	3	9	2	2	-	-
2019	구로구	구로3동	243	-	298	205	245	19	24	19	29	-	-
2019	구로구	구로4동	537	-	670	442	519	52	97	43	54	-	-
2019	구로구	구로5동	277	-	327	233	264	24	41	20	22	-	-
2019	구로구	고척1동	385	-	536	323	432	43	78	19	26	-	-
2019	구로구	고척2동	623	-	881	514	670	69	156	40	55	-	-
2019	구로구	개봉2동	456	-	621	371	472	51	107	34	42	-	-
2019	구로구	개봉3동	435	-	612	362	479	54	105	19	28	-	-
2019	구로구	오류1동	567	-	726	464	573	60	97	43	56	-	-
